Quarter,GDP_Nom_Index,GDP_Real_Index,GDP_Real_Ann_BnEUR
1,100.0,100.0,4202.975309743139
2,100.69308415558524,100.96670618297917,4243.605731931513
3,101.38255152099167,102.00197287519129,4287.117735395183
4,102.09539158142206,103.05489235626295,4331.371681216101
5,102.87724460530063,104.06849604763242,4373.973194103005
6,103.75407660496836,104.96194283994917,4411.524542189771
7,104.75645102263469,105.66627175922743,4441.127312766416
8,105.91028988950202,106.14566509353205,4461.276096243794
9,107.20619181975968,106.37901420745646,4471.083701887541
10,108.64568767500012,106.41808369317162,4472.725782725793
11,110.19210360748919,106.32936940118007,4468.997142937174
12,111.80610026095796,106.2302459971691,4464.831010740417
13,113.44113596400642,106.2415961496519,4465.308054846887
14,115.02918067214031,106.46339465748123,4474.630191368332
15,116.52148042043851,106.9949536856264,4496.971486077984
16,117.86118829769099,107.89657439919797,4534.866382056928
17,119.01723155482895,109.20779422957052,4589.976627783942
18,119.9779688884343,110.93532322904966,4662.584245100703
19,120.75482460934242,113.05872708470916,4751.830384880205
20,121.38457276167401,115.52820652514124,4855.621996040749
