Quarter,p5,p15,p25,p50,p75,p85,p95
1,1.3227441148721012e-05,1.3227441148721012e-05,1.3227441148721012e-05,1.3227441148721012e-05,1.3227441148721012e-05,1.3227441148721012e-05,1.3227441148721012e-05
2,1.3228256692971926e-05,1.3228256692971926e-05,1.3228256692971926e-05,1.3228256692971926e-05,1.3228256692971926e-05,1.3228256692971926e-05,1.3228256692971926e-05
3,1.3222808956879748e-05,1.3222808956879748e-05,1.3222808956879748e-05,1.3222808956879748e-05,1.3222808956879748e-05,1.3222808956879748e-05,1.3222808956879748e-05
4,1.3222132335514608e-05,1.3222132335514608e-05,1.3222132335514608e-05,1.3222132335514608e-05,1.3222132335514608e-05,1.3222132335514608e-05,1.3222132335514608e-05
5,1.322068046412684e-05,1.322068046412684e-05,1.322068046412684e-05,1.322068046412684e-05,1.322068046412684e-05,1.322068046412684e-05,1.322068046412684e-05
6,1.3225956256189817e-05,1.3225956256189817e-05,1.3225956256189817e-05,1.3225956256189817e-05,1.3225956256189817e-05,1.3225956256189817e-05,1.3225956256189817e-05
7,1.322449240300775e-05,1.322449240300775e-05,1.322449240300775e-05,1.322449240300775e-05,1.322449240300775e-05,1.322449240300775e-05,1.322449240300775e-05
8,1.3211029643782408e-05,1.3211029643782408e-05,1.3211029643782408e-05,1.3211029643782408e-05,1.3211029643782408e-05,1.3211029643782408e-05,1.3211029643782408e-05
9,1.3211013630848301e-05,1.3211013630848301e-05,1.3211013630848301e-05,1.3211013630848301e-05,1.3211013630848301e-05,1.3211013630848301e-05,1.3211013630848301e-05
10,1.320737314759079e-05,1.320737314759079e-05,1.320737314759079e-05,1.320737314759079e-05,1.320737314759079e-05,1.320737314759079e-05,1.320737314759079e-05
11,1.3208582314917803e-05,1.3208582314917803e-05,1.3208582314917803e-05,1.3208582314917803e-05,1.3208582314917803e-05,1.3208582314917803e-05,1.3208582314917803e-05
12,1.3210444218766567e-05,1.3210444218766567e-05,1.3210444218766567e-05,1.3210444218766567e-05,1.3210444218766567e-05,1.3210444218766567e-05,1.3210444218766567e-05
13,1.3217879212591633e-05,1.3217879212591633e-05,1.3217879212591633e-05,1.3217879212591633e-05,1.3217879212591633e-05,1.3217879212591633e-05,1.3217879212591633e-05
14,1.3217470659205915e-05,1.3217470659205915e-05,1.3217470659205915e-05,1.3217470659205915e-05,1.3217470659205915e-05,1.3217470659205915e-05,1.3217470659205915e-05
15,1.322286371826329e-05,1.322286371826329e-05,1.322286371826329e-05,1.322286371826329e-05,1.322286371826329e-05,1.322286371826329e-05,1.322286371826329e-05
16,1.3222967304247523e-05,1.3222967304247523e-05,1.3222967304247523e-05,1.3222967304247523e-05,1.3222967304247523e-05,1.3222967304247523e-05,1.3222967304247523e-05
17,1.3224811101451399e-05,1.3224811101451399e-05,1.3224811101451399e-05,1.3224811101451399e-05,1.3224811101451399e-05,1.3224811101451399e-05,1.3224811101451399e-05
18,1.3222965812860604e-05,1.3222965812860604e-05,1.3222965812860604e-05,1.3222965812860604e-05,1.3222965812860604e-05,1.3222965812860604e-05,1.3222965812860604e-05
19,1.3219585128834703e-05,1.3219585128834703e-05,1.3219585128834703e-05,1.3219585128834703e-05,1.3219585128834703e-05,1.3219585128834703e-05,1.3219585128834703e-05
20,1.3233054379184383e-05,1.3233054379184383e-05,1.3233054379184383e-05,1.3233054379184383e-05,1.3233054379184383e-05,1.3233054379184383e-05,1.3233054379184383e-05
