Quarter,p5,p15,p25,p50,p75,p85,p95
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,100.69182481307209,100.69182481307209,100.69182481307209,100.69182481307209,100.69182481307209,100.69182481307209,100.69182481307209
3,101.3797440469876,101.3797440469876,101.3797440469876,101.3797440469876,101.3797440469876,101.3797440469876,101.3797440469876
4,102.09723266119329,102.09723266119329,102.09723266119329,102.09723266119329,102.09723266119329,102.09723266119329,102.09723266119329
5,102.87656742133558,102.87656742133558,102.87656742133558,102.87656742133558,102.87656742133558,102.87656742133558,102.87656742133558
6,103.76007202475192,103.76007202475192,103.76007202475192,103.76007202475192,103.76007202475192,103.76007202475192,103.76007202475192
7,104.76593530423834,104.76593530423834,104.76593530423834,104.76593530423834,104.76593530423834,104.76593530423834,104.76593530423834
8,105.9177016969282,105.9177016969282,105.9177016969282,105.9177016969282,105.9177016969282,105.9177016969282,105.9177016969282
9,107.21821430085407,107.21821430085407,107.21821430085407,107.21821430085407,107.21821430085407,107.21821430085407,107.21821430085407
10,108.65331188811216,108.65331188811216,108.65331188811216,108.65331188811216,108.65331188811216,108.65331188811216,108.65331188811216
11,110.19970311195468,110.19970311195468,110.19970311195468,110.19970311195468,110.19970311195468,110.19970311195468,110.19970311195468
12,111.80954137933612,111.80954137933612,111.80954137933612,111.80954137933612,111.80954137933612,111.80954137933612,111.80954137933612
13,113.44250677673638,113.44250677673638,113.44250677673638,113.44250677673638,113.44250677673638,113.44250677673638,113.44250677673638
14,115.02845188633133,115.02845188633133,115.02845188633133,115.02845188633133,115.02845188633133,115.02845188633133,115.02845188633133
15,116.51693779015181,116.51693779015181,116.51693779015181,116.51693779015181,116.51693779015181,116.51693779015181,116.51693779015181
16,117.85419699927309,117.85419699927309,117.85419699927309,117.85419699927309,117.85419699927309,117.85419699927309,117.85419699927309
17,119.01029787983926,119.01029787983926,119.01029787983926,119.01029787983926,119.01029787983926,119.01029787983926,119.01029787983926
18,119.97109136797476,119.97109136797476,119.97109136797476,119.97109136797476,119.97109136797476,119.97109136797476,119.97109136797476
19,120.74591919232797,120.74591919232797,120.74591919232797,120.74591919232797,120.74591919232797,120.74591919232797,120.74591919232797
20,121.37219229612207,121.37219229612207,121.37219229612207,121.37219229612207,121.37219229612207,121.37219229612207,121.37219229612207
