Quarter,p5,p15,p25,p50,p75,p85,p95
1,0.19692570900899284,0.19692570900899284,0.19692570900899284,0.19692570900899284,0.19692570900899284,0.19692570900899284,0.19692570900899284
2,0.39100082510417433,0.39100082510417433,0.39100082510417433,0.39100082510417433,0.39100082510417433,0.39100082510417433,0.39100082510417433
3,0.5804931472613253,0.5804931472613253,0.5804931472613253,0.5804931472613253,0.5804931472613253,0.5804931472613253,0.5804931472613253
4,0.7608543500340048,0.7608543500340048,0.7608543500340048,0.7608543500340048,0.7608543500340048,0.7608543500340048,0.7608543500340048
5,0.9244231890185854,0.9244231890185854,0.9244231890185854,0.9244231890185854,0.9244231890185854,0.9244231890185854,0.9244231890185854
6,1.0613301762520717,1.0613301762520717,1.0613301762520717,1.0613301762520717,1.0613301762520717,1.0613301762520717,1.0613301762520717
7,1.1611756740533297,1.1611756740533297,1.1611756740533297,1.1611756740533297,1.1611756740533297,1.1611756740533297,1.1611756740533297
8,1.2148159473464462,1.2148159473464462,1.2148159473464462,1.2148159473464462,1.2148159473464462,1.2148159473464462,1.2148159473464462
9,1.2156838903578244,1.2156838903578244,1.2156838903578244,1.2156838903578244,1.2156838903578244,1.2156838903578244,1.2156838903578244
10,1.160390708332993,1.160390708332993,1.160390708332993,1.160390708332993,1.160390708332993,1.160390708332993,1.160390708332993
11,1.048707799648726,1.048707799648726,1.048707799648726,1.048707799648726,1.048707799648726,1.048707799648726,1.048707799648726
12,0.8832473654346893,0.8832473654346893,0.8832473654346893,0.8832473654346893,0.8832473654346893,0.8832473654346893,0.8832473654346893
13,0.669177268423535,0.669177268423535,0.669177268423535,0.669177268423535,0.669177268423535,0.669177268423535,0.669177268423535
14,0.41415348375597566,0.41415348375597566,0.41415348375597566,0.41415348375597566,0.41415348375597566,0.41415348375597566,0.41415348375597566
15,0.1284291328519835,0.1284291328519835,0.1284291328519835,0.1284291328519835,0.1284291328519835,0.1284291328519835,0.1284291328519835
16,-0.17508388471769107,-0.17508388471769107,-0.17508388471769107,-0.17508388471769107,-0.17508388471769107,-0.17508388471769107,-0.17508388471769107
17,-0.4810797511659014,-0.4810797511659014,-0.4810797511659014,-0.4810797511659014,-0.4810797511659014,-0.4810797511659014,-0.4810797511659014
18,-0.7726312122353324,-0.7726312122353324,-0.7726312122353324,-0.7726312122353324,-0.7726312122353324,-0.7726312122353324,-0.7726312122353324
19,-1.0324485117503128,-1.0324485117503128,-1.0324485117503128,-1.0324485117503128,-1.0324485117503128,-1.0324485117503128,-1.0324485117503128
20,-1.2443980299617468,-1.2443980299617468,-1.2443980299617468,-1.2443980299617468,-1.2443980299617468,-1.2443980299617468,-1.2443980299617468
