Quarter,"Products of agriculture, hunting and related services","Products of forestry, logging and related services",Fish and other fishing products; aquaculture products; support services to fishing,Mining and quarrying,Food products; beverages; tobacco products ,Textiles; wearing apparel; leather and related products,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Paper and paper products,Printing and recording services,Coke and refined petroleum products,Chemicals and chemical products,Basic pharmaceutical products and pharmaceutical preparations,Rubber and plastics products,Other non-metallic mineral products,Basic metals,"Fabricated metal products, except machinery and equipment","Computer, electronic and optical products",Electrical equipment,Machinery and equipment n.e.c.,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Furniture; other manufactured goods,Repair and installation services of machinery and equipment,"Electricity, gas, steam and air conditioning",Natural water; water treatment and supply services,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services ",Constructions and construction works,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Wholesale trade services, except of motor vehicles and motorcycles","Retail trade services, except of motor vehicles and motorcycles",Land transport services and transport services via pipelines,Water transport services,Air transport services,Warehousing and support services for transportation,Postal and courier services,Accommodation and food services,Publishing services,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Telecommunications services,"Computer programming, consultancy and related services; information services","Financial services, except insurance and pension funding","Insurance, reinsurance and pension funding services, except compulsory social security",Services auxiliary to financial services and insurance services,Real estate services,Imputed rents of owner-occupied dwellings,Legal and accounting services; services of head offices; management consulting services,Architectural and engineering services; technical testing and analysis services,Scientific research and development services,Advertising and market research services,"Other professional, scientific and technical services; veterinary services",Rental and leasing services,Employment services,"Travel agency, tour operator and other reservation services and related services","Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Public administration and defence services; compulsory social security services,Education services,Human health services,Residential care services; social work services without accommodation,"Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services",Sporting services and amusement and recreation services,Services furnished by membership organisations,Repair services of computers and personal and household goods,Other personal services,Services of households as employers; undifferentiated goods and services produced by households for own use,Services provided by extraterritorial organisations and bodies
1,50948249416.316536,3041957486.1417785,5006623110.061532,76194512998.35583,128640657791.89551,32430694124.506424,10188586682.2577,21511565094.55016,5551379500.9146,49170293610.0235,64223498048.02856,33447539276.648434,26095755482.618515,13363364801.045006,38092649760.723465,22396460370.0415,18327888627.613987,18811270809.417423,13940842330.880499,23581248915.08765,5917734780.253131,19523743541.804646,17843824952.528893,104470500555.67851,12576677645.771698,28585617038.008205,39651853148.81401,19384761351.193375,85340880337.66379,62857811929.318115,51942986077.18443,1714108018.8880453,9912829606.355545,59800480539.58628,6857936717.804253,141597108651.14426,9707594784.33958,13292433913.18683,25128815053.719723,14172011350.916542,38987977729.982765,18385831379.471115,18226381515.537678,74356535534.0644,116179696563.65027,44805369872.61733,20264121259.332233,5215445736.653373,16400041429.641766,12849237860.196432,16192679322.463339,7189807396.8194065,7506516939.22133,57668765381.64648,140689540780.53293,116071861112.33315,138554108851.6846,35150476317.71764,23446568057.81337,23914508758.943375,13720731397.289923,5661648001.238815,18496842053.1194,18690514961.177982,573461959.9406182
2,50616244609.95361,3033755054.1398554,4992106460.630382,75939546122.59346,127611037572.0238,32304742285.32507,10167293757.405577,21449813226.804916,5540968978.823363,48943419167.40012,64100587632.31646,33515030138.839794,26026971545.73174,13345923713.584997,38020261754.959,22348434394.67792,18303510356.2243,18768847870.359608,13923571251.49134,23471475846.623882,5906916249.652157,19503979738.73275,17805619147.45678,104109841919.152,12548940235.125864,28560708504.697655,39709808848.95764,19338965802.25333,85194686276.31552,62790722394.58502,51839454997.364716,1710793862.898513,9917568767.02691,59745276549.752106,6860446706.911951,140669224978.44135,9722703970.964058,13287520610.792202,25108401305.520638,14178939074.358412,39064597519.46506,18382338646.43345,18220989944.618484,74384668211.25688,117155089306.19922,44792998308.36589,20276973400.33149,5237069411.231109,16380170610.508074,12839232509.384083,16173713275.703156,7174866654.061578,7476065948.419114,57633601572.213005,141670315691.47827,116932501979.0623,139233246893.3393,35318101867.72845,23425903103.22188,23899755825.143032,13703565084.308893,5656996903.573668,18494379000.109783,18904670344.720505,574421394.1836969
3,50530344137.376274,3044919900.9822745,5024929284.492012,76143832983.4034,126993072306.27763,32459782871.788845,10209555040.4566,21502656297.31829,5569409219.295064,48995467591.44939,64362193306.568344,33773724057.814056,26117404747.722042,13424554413.519293,38190297267.9958,22440130139.867687,18409057061.024662,18849600546.58846,13993455452.145088,23510768119.54067,5935089795.997122,19615438557.44829,17879799121.99971,104461544333.63434,12592838720.525942,28684403217.0745,40155725907.533585,19475430767.480038,85656215846.45485,63312524431.42668,52058399997.60803,1716412023.1997402,9977176292.05666,60003192925.56818,6912643909.818497,140378165312.80255,9812056594.208715,13358076030.204466,25298197329.057137,14290916281.092163,39698859340.65636,18578025330.284332,18382523557.764076,75199566332.07858,120404055696.92847,45108036627.687035,20422063250.78906,5288203431.978879,16483957571.15029,12919737045.152632,16265948843.550745,7204873028.3693,7484919934.582622,58006878187.3947,143602869074.7874,118979689774.26923,140867931313.08102,35704112913.65914,23565791105.40241,24103418482.782887,13814599827.131071,5694093738.689485,18684831139.34331,19592668584.891624,580639851.6121122
4,50289336262.98415,3048806773.3356543,5031353794.745172,76158167046.27948,125968159566.68454,32513681777.034893,10239097725.746351,21538579652.07115,5590619559.51516,48900681488.88681,64550140868.562355,34008576014.681347,26165000074.754414,13486967947.283058,38302975104.68276,22498056107.528927,18508651285.28995,18902354117.343887,14048143785.871452,23475064818.284515,5948849812.794568,19725403857.23371,17928302793.569466,104524291627.31972,12630375155.120268,28771208527.359352,40626062021.99677,19570194726.12019,86025535186.01402,63716345294.821655,52200626870.94372,1720902485.4047124,10035457080.659208,60215718184.766014,6965630479.310683,139906267942.35596,9905641636.595078,13422069391.967375,25488418720.31945,14402718758.001488,40329035591.61916,18773403342.48802,18539432263.46781,75965061176.53224,124746875068.43454,45399181182.27342,20572373785.806175,5339790805.465707,16571614170.214329,12990294327.181463,16340489745.539957,7226251370.566792,7494066118.73701,58339091227.09814,146163983061.73648,121221463196.63185,142747830204.70795,36226072794.25616,23664405978.570312,24260748951.250813,13924599891.18861,5726982118.230037,18904143768.566048,20418175803.931507,586536358.9385779
5,49896244266.49893,3048566344.7553525,5024019936.670817,76061015030.0816,124536218251.90211,32535629170.659546,10258612178.703321,21529050520.90474,5603582665.571346,48730636762.79073,64633949260.4204,34204265932.445778,26174580221.654804,13536932685.997318,38369360828.200325,22529354839.40295,18585136392.768353,18935927768.90876,14088217216.447199,23424045573.06409,5956436299.873341,19820934989.47763,17950439756.96986,104394215940.24669,12642810644.642078,28818429151.590088,41116852957.35622,19629614935.916676,86386867357.62823,64130791764.369965,52317490990.15245,1722605022.0139272,10089980472.629599,60375031993.091125,7015663065.948912,138716034413.3197,10010624075.077175,13485763507.476892,25643301195.184986,14510125224.43469,41065549257.35974,18998222354.092827,18706308460.62316,76675857034.89381,129697258568.14241,45659836058.83,20713639300.694763,5389338605.094531,16648139102.040037,13049002892.429941,16401182514.89389,7238319803.14202,7502839705.123477,58632446568.43764,148911629945.81836,123802226540.66365,144690373191.80545,36766107676.33555,23756952518.962593,24337403639.868767,14002747081.845625,5756018861.762296,19144406444.517353,21388101813.801487,592075647.701537
6,49432380973.77581,3044730020.6678534,5025393113.606324,75913473590.02228,122918588888.49796,32497748664.69522,10267712612.910757,21504330848.61727,5615286112.94317,48534101711.525505,64679895092.41507,34401453948.979546,26158722072.10677,13576941573.987608,38403469212.07468,22539885735.20074,18663748876.30336,18950565899.608265,14118379840.992435,23307164650.928734,5961626220.015979,19901534176.121002,17961794943.794464,104170187796.94778,12642389585.575277,28850911230.21547,41565757303.362495,19673398495.738724,86650708929.13158,64539054097.476715,52384717173.19568,1723180785.4968452,10136314582.082697,60494294709.86943,7062920951.072943,137633901900.64728,10111616805.190037,13537240389.109543,25780865339.42026,14613677940.926529,41807788244.72049,19240187146.08085,18881165911.116158,77382583488.78914,134516408852.44743,45907726678.84942,20839405671.40986,5434890477.275297,16717160220.290037,13101659845.439901,16452463423.276464,7245836695.016831,7495558888.128552,58899585108.793816,151539822573.57898,126376535243.16853,146729135777.29984,37332671618.39867,23803901551.584114,24489174655.21413,14094332100.420742,5781280568.82608,19396956860.484886,22430250356.228508,597595726.1218705
7,48939799038.50492,3040823306.142942,5005923006.4533415,75734039495.30634,121349401976.78362,32418969150.391808,10273438015.8752,21471666699.93862,5623719805.460208,48330551722.69357,64657535995.64558,34540539269.59148,26127682658.76596,13606922963.328564,38408803971.18368,22533940576.117386,18728877867.686447,18948770760.016342,14137999687.82091,23156489175.685017,5961485004.130213,19983709442.24052,17959416402.39936,103871068001.67876,12633071265.15913,28855750590.13465,41987249840.75111,19726579497.411037,86839940330.33762,64840494369.956154,52420557595.28968,1722140133.5738952,10177093565.43531,60578769646.50894,7103186324.983222,136602340721.43184,10199423323.977327,13582764691.53427,25917495218.332245,14702810207.884115,42494640537.25785,19477467587.16213,19044665451.056545,77978832924.59491,139189406885.14896,46117220244.349335,20946001502.1326,5476073805.182676,16773395133.44772,13144480748.566837,16492192804.691196,7248551812.539309,7478597650.521152,59113358299.856834,153847948008.68167,128767406413.42142,148506345744.98706,37799398151.89674,23865863576.30618,24581569921.946754,14168636932.43737,5801166993.56627,19624663681.40052,23346485461.182697,602386449.6936948
8,48450291774.980995,3038204829.1537914,4999095337.614991,75602043182.39717,119840771707.08264,32405117058.929317,10274978282.693027,21438677126.84922,5629342156.995709,48199897409.684494,64616781204.2066,34662452994.18351,26092206285.6723,13628165197.193016,38401607866.41808,22521341576.92453,18788937193.548317,18939957997.64977,14152699118.98787,23001461245.775677,5961728107.498314,20032729423.13266,17951086136.55742,103537159497.17929,12628394104.159235,28876869384.74996,42322991189.45332,19777377678.87321,87042969621.4318,65117217715.78108,52416653326.25896,1721189751.8138716,10210733782.341711,60643511822.21961,7136841784.586261,135488828267.73872,10275708136.856092,13633384220.499805,26041601201.219135,14777171952.312168,43077232055.56917,19716869615.20674,19190729636.24398,78490319608.64491,142601797699.571,46296456157.27588,21038420045.55049,5511983575.79236,16822689109.099277,13177054682.136944,16521911640.043938,7249276721.06888,7462425880.878417,59286078621.00101,155816692151.3296,130771475113.8533,149811871852.87463,38237155222.17081,23933865722.566956,24694803296.60537,14261701156.523438,5817980065.001719,19771594476.352913,24030364875.165085,606619529.8819419
9,48016669935.315475,3035550549.221352,4982865991.48921,75523238440.44704,118644553016.3651,32318823553.477226,10272186557.667469,21403436567.12246,5632888263.242981,48131444468.672585,64577386507.398315,34772018908.90244,26048439139.747574,13640630948.347996,38382301599.064384,22502298382.116356,18829476919.82514,18925439660.245773,14160897350.62895,22851659463.764397,5962143173.200745,20078663967.204742,17940963949.159554,103263842486.04048,12623994831.213272,28875809227.320816,42529411751.9698,19790578614.992588,87083840147.73378,65323589667.634186,52398383450.07106,1721107964.0202105,10242443318.035494,60709228921.97587,7160298882.342386,134692691365.60553,10331453505.293756,13678237601.888012,26139958916.730045,14833441502.006845,43510031285.57426,19921301813.83972,19309644344.975716,78852833283.13893,144878580576.0945,46425501345.53334,21103989071.095757,5544425583.352653,16856486137.50382,13197774927.474411,16540514224.254477,7247613522.106592,7458455351.973807,59398229425.5714,157116457732.28976,132027199878.25688,151062522208.90103,38557927169.35141,24031132496.301804,24794405817.669674,14317702955.701899,5830162940.1566105,19852484421.53465,24446658022.890884,609866472.2775955
10,47684048245.272,3033777707.40305,4979398439.517839,75538937424.30266,117777304494.14038,32320839306.843605,10271876636.509222,21375026712.268875,5633140521.407984,48155419320.50429,64550934937.901566,34864443678.31232,26018496244.326084,13647492905.480995,38366973778.574844,22489876147.633854,18864969736.654465,18920526796.32543,14167580379.9899,22726523055.54251,5959873039.376441,20116656265.42662,17934449222.535114,103098503165.5314,12604546642.325647,28895450828.77621,42646294457.193474,19789395320.717117,87164162679.05872,65430054231.542786,52393439724.80425,1722532240.787948,10267455513.504473,60793419585.00052,7173845974.469673,133866115978.14511,10364254836.018957,13713804047.615267,26214116445.70299,14869482283.618969,43704242624.739105,20061458119.54025,19394687845.419155,79014672648.23474,145590123210.01013,46507054794.82303,21144950125.107567,5569014645.731177,16877558898.331686,13210732673.255213,16553679128.698816,7246349823.686804,7451259966.310586,59464237127.46031,157976354644.71252,132673714922.85576,151756581849.81296,38799439905.73523,24096034538.205914,24873998168.2033,14363475190.040585,5837641163.834643,19911250775.052383,24491213937.94744,611782275.1465054
