t,U_hank_mean,U_planner_mean,welfare_gain,Type0_Welfare_Gain,Type1_Welfare_Gain,Type2_Welfare_Gain,Type3_Welfare_Gain,Type4_Welfare_Gain
1,827.841068798919,848.6860051163433,0.02517987703565779,0.0912031950772907,0.04695077546283086,0.024328658725195417,0.003154045032053059,-0.031446234147887
2,823.8216701164599,889.1552196424599,0.07930545152661989,0.16653453055410075,0.1089027735284112,0.08057850025653333,0.05040939207239945,0.003935631130246108
3,821.5919619660588,890.5807732800163,0.08396967656410391,0.18377620720934068,0.11770807570332667,0.0842583240140129,0.05115258784477862,0.00046839529483324975
4,819.1097735498203,887.3778059339297,0.08334417997267034,0.19412655876169127,0.11895376838315809,0.0835560269609074,0.04791886058257163,-0.006912307459841552
5,817.711852383747,886.4187137806915,0.08402331603321415,0.20107919391611634,0.12192327767886085,0.08381337486886399,0.046224338733400275,-0.009833192692707115
6,815.8017996060776,885.288244524966,0.08517564554581887,0.20690735140901884,0.12518934489976694,0.08650112969755715,0.04453388833315709,-0.012217456884719828
7,814.2838805544872,881.2285491692735,0.08221293606991252,0.2077945085746701,0.1253119992537037,0.08280102729342753,0.040980612504575825,-0.01891596744783094
8,812.4495582188358,877.6001423169677,0.08019031266502742,0.20940170991246393,0.12615426917542083,0.08120465760664174,0.036597906900083056,-0.023686501351186554
9,811.0013636698889,879.9598149154959,0.08502877348264981,0.21730972446816033,0.1318289673902498,0.08586681618935531,0.041424215032113666,-0.02140735864476819
10,810.7545834231954,883.3360088877885,0.08952329958856022,0.22471728660694879,0.1362540824593724,0.0910599306382794,0.04520619369756098,-0.01876131789526618
11,809.4849525738844,884.4579834329475,0.09261818965340195,0.23067809570567285,0.14123575046324638,0.09346514421874376,0.048864822789886804,-0.01892188309694872
12,810.3813353743567,886.6967030215483,0.09417216847909952,0.23419700947314792,0.1429097576832297,0.09490177181078219,0.04956649376030236,-0.017901247451716222
13,810.1647068641258,886.1572853269029,0.09379892485926554,0.2347725910545285,0.1439853122552974,0.09440703199408719,0.0487318124514638,-0.01943508947681332
14,810.114240809822,885.5804655665877,0.09315504030805168,0.23486723213683205,0.1411473543718254,0.09513701389940686,0.049581999647267685,-0.02133264269324266
15,811.8443266811911,883.9547629239017,0.08882298474326619,0.22762412811193827,0.13597750625964547,0.09259788538632319,0.044825576033088996,-0.024155419336859447
16,812.8038352757136,884.3034220373254,0.08796659619274337,0.2264200503616076,0.1342964987750813,0.09129791197669807,0.0442731386421432,-0.024081250521320013
17,813.7853964367356,883.330010929136,0.0854581745960428,0.22309183711261676,0.13147991910342643,0.08760263194802514,0.04299333496730047,-0.02589626843454223
18,815.2159268024603,884.9040745011936,0.08548428141249967,0.22005497470816446,0.13218056698268177,0.08778401373804746,0.04412880004562718,-0.025507304525697008
19,816.6952541125265,888.6086378638634,0.08805412225577645,0.22100471778529876,0.13475587080294688,0.09022116654005932,0.04735530811344956,-0.022467181356425444
20,818.7343658655765,890.7348324782184,0.0879411804542028,0.2172265055097187,0.13415152698714664,0.0894786712320521,0.04919436680398893,-0.02105162596268155
